#{"t_start": 1765923972.458318, "env_id": "LunarLander-v3"}
r,l,t
-130.170944,95,0.03722
-423.897212,106,0.054743
-90.678069,137,0.076653
-98.564665,86,0.090831
-267.945453,133,0.112461
-266.980524,101,0.128244
-106.591791,62,0.138396
-223.494199,158,0.163403
-95.296266,120,0.182363
-324.252669,88,0.229842
-146.229273,126,0.249631
-188.089647,113,0.267345
-277.732323,131,0.287296
-123.061424,100,0.302753
-265.24205,113,0.320464
-107.966631,77,0.332699
-271.06442,87,0.346225
-236.097217,74,0.357725
-131.762601,73,0.369427
-85.092483,83,0.415351
-154.98346,96,0.430121
-354.852715,72,0.441222
-70.906975,69,0.452532
-234.071497,106,0.469057
-101.920222,69,0.479584
-118.831198,70,0.490528
-172.777761,80,0.502912
-101.798881,73,0.514198
-142.854029,122,0.532959
-155.673079,112,0.550106
-246.541137,109,0.566801
-164.36997,116,0.616586
-90.964931,74,0.627997
-538.190409,93,0.642388
-275.535229,76,0.654254
-187.576173,68,0.66504
-353.680827,102,0.680503
-324.550213,80,0.692739
-407.827412,93,0.70696
-84.582706,68,0.717699
-340.445938,85,0.73088
-106.902864,87,0.74408
-92.54814,67,0.75437
-453.596348,113,0.803667
-384.169857,92,0.817958
-254.490219,128,0.837336
-136.370176,127,0.856858
-137.580916,66,0.867155
-80.934821,71,0.878184
-216.680277,74,0.889703
-207.878178,108,0.906328
-196.063064,73,0.917943
-132.437018,71,0.928962
-333.226658,84,0.941825
-128.873447,92,0.98743
-126.631517,112,1.00449
14.017758,117,1.022435
-75.276347,128,1.042
-246.221289,81,1.05499
-67.130248,116,1.073047
-102.050373,85,1.086244
-111.007206,83,1.099087
-197.020594,120,1.117315
-115.725675,83,1.130055
-548.971924,124,1.184855
-63.308611,87,1.200287
-97.635778,104,1.217863
-144.972923,89,1.232966
-102.858049,62,1.243084
-111.367421,73,1.255428
-82.06827,105,1.272882
-191.949334,70,1.285103
-283.467681,123,1.306117
-343.382195,75,1.352306
-153.52937,108,1.375225
-70.463956,64,1.385429
-191.817176,125,1.437268
-126.065859,77,1.449366
-280.757224,93,1.463944
-274.40714,95,1.478593
-261.205631,83,1.491856
-103.114452,125,1.511558
-331.91142,103,1.52722
-265.377995,126,1.547149
-364.736063,109,1.56413
-69.833006,75,1.575716
-121.300344,96,1.621825
-123.237244,100,1.637075
-296.047775,109,1.653894
-160.021318,83,1.666888
-130.584244,69,1.677363
-312.3005,103,1.693256
-75.937159,77,1.705331
-218.697551,128,1.724657
-59.052661,87,1.738404
-73.309708,87,1.751886
-115.183052,84,1.764886
-231.480622,112,1.814058
-110.330826,74,1.825362
-214.834573,124,1.844332
-123.632589,73,1.855639
-144.430023,143,1.877531
-79.717494,78,1.889763
-107.325089,85,1.903092
-72.089633,69,1.913944
-233.512005,94,1.928411
-137.031281,76,1.940236
-117.929874,105,1.956457
-108.859526,74,1.999652
-137.794887,65,2.009691
-286.889406,128,2.029161
-53.033577,59,2.038638
-177.629612,65,2.048908
-365.393584,142,2.070362
-191.744057,83,2.083399
-180.005431,114,2.100745
-199.20028,82,2.113357
-114.687027,78,2.125466
-236.432875,131,2.145344
-180.107928,65,2.187226
-72.203403,68,2.197911
-54.685874,68,2.208341
-141.689782,68,2.218843
-176.318192,113,2.236252
-155.651841,114,2.253968
-125.430207,60,2.263404
-319.986944,108,2.280127
-164.447018,120,2.298693
-132.60308,93,2.312991
-63.852775,109,2.32976
-81.021825,113,2.378699
-207.108044,92,2.393241
-125.058152,85,2.406649
-324.988072,94,2.421308
-112.687524,100,2.436976
-127.052514,106,2.453455
-408.805575,113,2.471219
-108.322637,108,2.488037
-119.38562,111,2.505509
-272.418302,116,2.523281
-244.810235,95,2.569824
-199.098513,142,2.591322
-111.142007,63,2.6013
-110.187127,90,2.615336
-37.93881,74,2.626755
-101.783021,105,2.643069
-367.39131,109,2.659735
-210.288254,108,2.676413
-150.708165,89,2.690378
-84.538083,115,2.7082
-108.103912,74,2.719737
-571.912676,112,2.769186
-137.686373,63,2.778854
-42.751511,91,2.793039
-428.402644,80,2.805625
-181.329756,125,2.824588
-349.555611,86,2.837714
-83.445913,83,2.850668
-189.071022,103,2.866493
-344.482578,76,2.878244
-87.775708,119,2.896088
-135.739086,119,2.945749
-310.165252,136,2.966966
-105.444699,77,2.978887
-96.509734,64,2.989551
26.694434,97,3.005121
-130.979438,121,3.023863
-98.608483,101,3.039575
-176.643988,124,3.059051
-195.713153,95,3.073764
-118.445271,84,3.086658
-265.452015,101,3.133517
-229.605518,104,3.149526
-217.625331,97,3.164486
-117.740174,75,3.176016
-146.314085,75,3.187497
-173.727859,133,3.207517
-52.556386,127,3.226665
-337.534134,128,3.246117
-132.131683,107,3.262481
-128.404024,77,3.274553
-121.586564,121,3.324589
-88.027793,68,3.335316
-126.445027,77,3.347131
-203.751109,78,3.359259
-110.633418,108,3.375887
-97.712526,85,3.388948
-246.026766,111,3.40565
-130.063103,100,3.420754
-182.12302,65,3.430792
-151.407331,96,3.445605
-118.235761,68,3.45613
-97.547218,88,3.469613
-111.546931,108,3.517898
-89.278086,133,3.538098
-116.940967,63,3.54792
-148.779172,68,3.558318
-202.692939,56,3.567213
-79.622109,105,3.58341
-150.071454,90,3.597303
-366.652408,134,3.617644
-77.133904,105,3.633985
-90.938349,77,3.645692
-96.334564,72,3.656797
-201.459544,87,3.702305
-24.432734,93,3.716679
-71.928491,121,3.735375
-125.643319,113,3.753041
-347.970113,87,3.76645
-59.432796,76,3.778081
-31.625462,83,3.790986
-115.206345,98,3.806159
-71.944143,58,3.815499
-74.783399,76,3.827209
-138.264023,75,3.838904
-126.667922,91,3.852882
-156.207626,111,3.902
-54.649187,68,3.912476
-109.834732,136,3.933343
-132.947864,88,3.946949
-104.451137,109,3.964101
-91.126154,78,3.97632
-218.001727,109,3.99313
-3.067615,104,4.009487
-232.235906,124,4.028536
-103.214997,123,4.047681
-135.722527,110,4.096245
-78.816848,94,4.110924
-146.461197,144,4.133537
-104.371048,102,4.149369
-182.921916,107,4.165656
-140.885345,141,4.187056
-125.449062,99,4.202666
-111.463692,63,4.212476
-138.354259,114,4.230027
-181.887208,114,4.279315
-248.633899,127,4.299199
-128.16654,105,4.315486
-363.588293,101,4.33119
-275.399267,116,4.348974
-134.622884,80,4.36128
-86.199688,72,4.372462
-26.481084,67,4.382955
-215.121419,95,4.397833
-78.970426,144,4.419899
-116.430062,97,4.46626
-268.579265,102,4.482144
-90.924247,75,4.493594
-133.478148,87,4.507259
-84.460653,72,4.518494
-63.55184,71,4.529349
-171.218359,82,4.541857
-256.863429,114,4.559172
-108.118054,100,4.574428
-431.521678,103,4.590465
-112.069502,85,4.603487
-220.607639,114,4.653286
-147.729085,103,4.669173
-125.33477,86,4.68258
-172.799277,122,4.701058
-155.457775,134,4.721686
-74.366681,70,4.732668
-118.782593,107,4.749123
-367.239697,88,4.762538
-120.337426,89,4.776173
-298.279391,120,4.794556
-107.264903,84,4.807382
-159.827208,115,4.856763
-188.70605,115,4.874606
-191.58749,63,4.884613
-80.238279,132,4.905503
-99.464502,63,4.915347
-93.301867,121,4.934111
-95.838984,88,4.947598
-121.749104,75,4.959188
-150.880527,144,4.981487
-113.237888,88,4.994919
-102.500986,92,5.040833
-336.590021,92,5.05543
-103.110512,85,5.068819
-130.481895,75,5.080533
-105.507056,91,5.094499
-91.182892,82,5.10709
-190.270221,118,5.124842
-113.737394,88,5.138448
-112.028708,89,5.152245
-146.328263,103,5.168097
-348.374695,115,5.185522
-82.965138,70,5.228037
-207.091124,61,5.237908
-177.896703,136,5.25864
-71.849405,74,5.270243
-67.150151,123,5.288924
-223.545398,90,5.302701
-327.210226,121,5.321246
-123.190807,68,5.331838
-103.28888,89,5.345512
-101.749149,85,5.358614
-115.304149,97,5.373677
-144.141327,78,5.41787
-52.870515,62,5.42748
-301.463071,139,5.449133
-103.372846,105,5.465324
-245.633327,104,5.481246
-45.1507,74,5.492538
-79.684185,85,5.505637
-105.668717,79,5.517842
-85.558183,79,5.530021
-100.008519,98,5.544996
-46.097936,113,5.56248
-453.475558,103,5.609486
-122.215384,90,5.623212
-315.058374,95,5.638059
-115.333602,98,5.653064
-114.039999,67,5.663426
-89.992254,84,5.676609
-99.980134,85,5.689816
