#{"t_start": 1765922303.885498, "env_id": "LunarLander-v3"}
r,l,t
-98.210784,118,0.819262
-293.761413,90,0.85392
-25.616173,80,0.884664
-554.299917,122,0.929841
-458.61511,91,0.964072
-446.484898,117,1.009205
-253.311934,90,1.043317
-246.942563,79,1.075829
-463.170955,102,1.115296
-139.197331,123,1.16179
-283.804789,91,1.194373
-481.105353,125,1.240937
-278.813363,157,1.3049
-342.227217,166,1.406121
-457.012953,145,1.458958
-254.868964,106,1.496991
-154.322839,106,1.535529
-288.954839,150,1.588908
-92.317996,235,1.671693
-657.933083,155,1.725921
-460.888177,213,1.799022
-123.373319,132,1.845532
-405.170939,292,1.949456
-242.458438,157,2.005759
-509.802896,254,2.095895
-289.308327,253,2.182848
-90.439872,188,2.247394
-278.718738,224,2.322603
127.631458,1000,2.663221
-277.663845,147,2.715187
-296.512409,199,2.788904
-241.64358,197,2.863623
-264.376001,154,2.917052
-124.32687,186,2.99081
-222.680904,266,3.0898
-61.550317,181,3.157287
-16.98466,283,3.260576
-106.082969,166,3.323187
-150.235972,193,3.4029
-92.293094,161,3.459648
-226.851724,181,3.525737
-50.835507,238,3.61246
-399.114996,179,3.675722
-161.012303,161,3.729736
-112.621772,206,3.798078
-12.961987,234,3.879888
-178.334541,145,3.929494
73.519488,200,3.997069
-79.660452,208,4.067612
-290.308752,256,4.16988
-62.415417,281,4.327309
-71.531448,159,4.385647
61.704992,173,4.445238
-154.679937,140,4.49251
-40.681658,241,4.606926
-228.257036,247,4.694355
-42.864962,228,4.774427
-235.69951,232,4.854774
-224.582394,247,4.940477
-310.210651,266,5.034508
-39.256596,236,5.116449
-115.049526,327,5.231688
231.109591,466,5.399
-192.442802,207,5.470491
-17.406705,190,5.534077
-143.852462,348,5.656864
-199.245281,152,5.711379
-67.836403,299,5.819333
-25.656948,313,5.929271
-167.456971,343,6.045291
-237.316014,154,6.096906
-65.396496,253,6.181156
-174.344621,202,6.249033
-279.957257,508,6.417899
-168.846969,211,6.487868
-72.223444,263,6.575657
-181.282168,231,6.653788
-37.908908,242,6.735138
-165.31967,163,6.788837
-40.882069,224,6.862602
269.571627,362,6.98241
-193.151762,192,7.046162
-18.695775,151,7.095636
-185.824382,148,7.144753
-223.990862,311,7.246579
23.831023,188,7.30771
33.50379,217,7.381456
-58.799799,261,7.46887
-172.956282,197,7.533485
-293.826129,247,7.614874
25.492237,375,7.741147
-257.997141,293,7.83772
-28.959931,222,7.911506
-128.845045,158,7.96306
-214.940582,273,8.053917
210.237441,860,8.349424
-234.212842,209,8.427309
-251.660042,291,8.532235
-92.720989,169,8.593412
119.927458,556,8.783803
-239.598026,257,8.868722
-45.815815,208,8.939593
-161.283518,200,9.010906
-209.5834,204,9.083952
262.51982,437,9.239562
-201.376251,248,9.325231
-196.688262,152,9.376044
-184.880814,148,9.42571
-175.934963,254,9.509602
-4.694006,386,9.638332
-19.026671,179,9.699557
-227.562976,218,9.771891
-61.187348,238,9.850865
-199.47349,206,9.919071
-79.562682,248,10.00178
-11.053854,169,10.057607
-188.528225,263,10.144789
-232.625503,340,10.258927
-247.189282,255,10.343868
13.566569,183,10.405566
-119.584348,152,10.455948
-193.390372,263,10.544012
-247.126317,278,10.651469
-100.689912,281,10.762443
-165.191149,217,10.864344
-91.823559,234,10.943911
261.830581,419,11.086154
-10.871357,292,11.185992
-178.84411,176,11.247863
-88.565404,240,11.329094
-54.395223,229,11.405309
21.723336,140,11.452059
-30.948729,228,11.528632
202.431193,431,11.688774
-42.971327,257,11.780797
-29.149184,192,11.850834
-2.9544,236,11.93423
214.164241,628,12.15604
-235.538939,260,12.252173
46.338673,153,12.306431
-138.694677,147,12.361901
-3.574308,164,12.42006
-1.47361,215,12.493859
49.207214,128,12.537806
-180.141912,239,12.617782
-201.413142,459,12.7714
9.517761,151,12.820857
-1.251071,276,12.912054
