#{"t_start": 1765922496.607075, "env_id": "LunarLander-v3"}
r,l,t
-351.157765,123,0.038044
-131.249639,91,0.056646
-207.723552,67,0.07094
-142.70876,97,0.089694
-86.408294,101,0.109401
-127.644068,63,0.121341
-377.376355,103,0.139939
-336.905001,143,0.166074
-132.507344,99,0.18397
-119.071569,131,0.21198
-97.938228,72,0.226509
-122.218626,90,0.24449
-100.762425,99,0.263043
-74.16837,63,0.274593
-133.220462,65,0.286362
-42.381925,75,0.300185
-60.669295,64,0.311963
-252.121897,98,0.329052
-211.871076,84,0.344238
-358.080094,116,0.365251
-201.006569,68,0.377684
-168.825601,78,0.391801
-95.723353,118,0.412825
-110.823076,84,0.428344
-226.203172,145,0.455267
-112.16655,102,0.474058
-196.716007,90,0.491107
-391.842041,92,0.508127
-330.573126,110,0.528156
-576.833145,111,0.548423
-141.982552,86,0.563756
-320.673776,75,0.577527
-235.532366,134,0.603501
-93.361859,90,0.619746
-322.857963,106,0.639034
-305.780515,128,0.662242
-307.508296,111,0.682367
-206.004577,143,0.708679
-103.115375,122,0.731345
-135.459723,86,0.746861
-70.146577,67,0.759141
-237.606567,134,0.783597
-273.474737,116,0.804904
-49.025622,89,0.821369
-243.736966,78,0.835486
-298.847393,104,0.854475
-470.015552,105,0.873293
-18.236608,69,0.886148
-458.446699,154,0.914315
-98.750492,79,0.929244
-69.857052,96,0.946935
-106.676309,104,0.965743
-178.051794,120,0.988017
-74.78331,107,1.007663
-268.678771,146,1.034508
-208.616342,114,1.056201
-283.428198,95,1.073634
-45.977649,79,1.0885
-57.016042,81,1.103485
-274.922196,99,1.122167
-153.710838,142,1.148911
-181.158038,187,1.183679
-60.268003,103,1.203044
-275.809463,97,1.220903
-162.149174,148,1.281112
-176.969514,196,1.322534
-252.545954,146,1.35186
-130.63433,126,1.413892
-85.754254,101,1.434066
-273.780332,161,1.463906
-72.826557,89,1.480707
-173.963688,130,1.50582
-212.068386,93,1.523524
-177.274999,181,1.557715
-93.523709,124,1.581207
-62.223831,88,1.598252
-76.72419,200,1.636229
-113.895333,78,1.651164
-277.124008,118,1.673031
-76.826923,135,1.699381
-330.71946,135,1.725307
-154.839605,101,1.745255
-268.152589,170,1.777803
-169.2609,81,1.793877
-146.415482,140,1.820576
-133.042509,162,1.851658
-203.147907,159,1.882027
-218.020735,137,1.907808
-160.968493,81,1.923418
-75.44354,205,1.963198
-188.500979,98,1.98803
-126.676376,93,2.005891
-109.077128,160,2.036881
-194.029965,182,2.072946
-167.54664,114,2.09458
-62.259435,101,2.114663
-302.694002,143,2.141994
-102.971642,127,2.16676
-59.956078,93,2.184929
-30.246649,175,2.218904
-173.342219,86,2.236226
-286.756368,168,2.269278
-157.123774,138,2.295698
-247.194274,110,2.317084
-110.640305,99,2.335872
-74.970625,149,2.36588
-58.975984,187,2.402312
-201.666426,139,2.430076
-73.791686,160,2.461503
-147.787943,214,2.502926
-91.615491,156,2.533725
-61.646598,225,2.577707
-117.847022,162,2.608953
-56.817736,125,2.634009
-155.863426,181,2.668977
-164.837781,168,2.702123
-96.97814,171,2.736364
-42.563864,162,2.7686
-29.184569,180,2.804265
-95.54844,107,2.826175
-196.278988,121,2.850364
-110.662864,182,2.887066
-153.516078,222,2.930578
-107.704009,122,2.955068
-178.10178,259,3.006607
-62.368073,224,3.050093
-163.914061,201,3.090164
-83.383713,84,3.106947
-93.602937,128,3.132171
-221.80724,539,3.239331
-13.105046,185,3.276918
-129.288969,569,3.389739
-127.190326,178,3.424929
-124.615731,211,3.467675
-83.460072,114,3.491332
-237.534874,359,3.564715
-107.56321,107,3.586923
-65.402539,272,3.643096
-127.313449,283,3.701356
-184.569867,804,3.867263
-139.265305,461,3.962322
-114.577789,1000,4.173743
-327.113741,217,4.21875
-156.068806,1000,4.42994
-363.545975,544,4.545312
-68.837403,438,4.638345
-138.173335,1000,4.850445
-219.225226,273,4.909181
-227.259523,183,4.949064
-133.815026,1000,5.162942
-329.289664,421,5.253883
-142.075711,1000,5.471643
-122.788971,1000,5.689616
-128.626396,1000,5.909601
-94.21069,1000,6.130311
-142.646449,1000,6.351912
-118.046534,1000,6.572531
-91.676989,320,6.643978
-115.841053,1000,6.865227
-358.471829,300,6.932208
-143.275156,1000,7.153947
-141.041415,1000,7.3755
-57.159339,1000,7.598054
-113.644372,1000,7.820345
-159.91086,1000,8.042233
-199.539859,311,8.112035
-139.539151,1000,8.33272
-119.294302,1000,8.555106
-83.730265,1000,8.776656
-80.719215,1000,8.9973
-107.773318,1000,9.219154
-139.795867,1000,9.439839
-276.397054,239,9.493139
-412.12417,542,9.613094
-121.745454,1000,9.835283
-111.704716,1000,10.063172
-119.620006,1000,10.293822
-144.550781,1000,10.520435
-341.082135,238,10.573777
-77.114733,1000,10.795737
-210.159114,381,10.881104
-68.615775,1000,11.104774
-402.367566,328,11.177653
-102.706139,1000,11.400001
-130.995827,1000,11.631848
-39.614038,1000,11.853883
-92.000848,1000,12.075883
-124.002258,1000,12.297664
-136.104909,1000,12.519649
-164.859193,1000,12.740903
30.525429,283,12.803999
-7.686337,1000,13.028548
-119.975606,1000,13.250505
-66.552006,1000,13.472011
-100.352183,1000,13.693723
-141.820654,1000,13.915562
-41.72736,1000,14.137871
-87.786792,1000,14.359883
-16.374536,1000,14.581453
-160.898662,1000,14.803308
-45.284808,1000,15.027754
-102.525102,1000,15.249595
-90.530745,1000,15.472061
-107.930026,1000,15.694466
-91.980253,1000,15.916681
-116.728896,1000,16.137896
-171.445544,1000,16.360169
-51.204914,1000,16.581842
-157.083349,1000,16.803781
-124.125683,1000,17.025226
-71.501231,1000,17.247783
-40.317666,1000,17.472326
-62.699556,1000,17.693771
-172.745911,1000,17.915806
-130.189923,1000,18.136985
-129.472117,1000,18.357644
-143.055981,1000,18.579821
-16.617213,1000,18.802367
-120.921311,1000,19.022929
-166.731168,1000,19.243818
-142.202325,1000,19.465162
-148.174456,1000,19.686713
-138.609047,1000,19.907655
-144.354779,1000,20.129046
-135.948536,1000,20.351085
-148.326327,1000,20.572774
-64.117194,1000,20.794474
-96.759961,1000,21.016251
-61.775236,1000,21.237424
-148.506591,1000,21.459772
-47.894066,1000,21.694672
-110.921139,1000,21.917579
-45.385299,1000,22.139573
126.715148,870,22.33391
-106.117249,1000,22.556348
-159.192942,1000,22.778374
-78.830089,1000,23.000807
-92.272735,1000,23.222887
-125.816725,1000,23.444717
-96.662729,1000,23.666575
-61.439402,780,23.840885
-132.856054,1000,24.062271
-133.027365,1000,24.283716
-154.356245,1000,24.505523
-138.284406,1000,24.727175
-136.835501,1000,24.948702
-45.534093,1000,25.170386
-173.208932,1000,25.393198
-52.210031,1000,25.617263
-81.245129,1000,25.838424
-98.987651,1000,26.06033
-53.462817,1000,26.282461
-168.931138,1000,26.504045
-143.391419,1000,26.725834
-125.670097,1000,26.947988
-164.894857,1000,27.169343
-136.89098,1000,27.391451
-156.872484,1000,27.613298
-63.736719,1000,27.834897
-133.002392,1000,28.056811
-113.801293,1000,28.278709
-162.104082,1000,28.500306
-30.824116,1000,28.722136
-108.614305,1000,28.944216
-127.348474,1000,29.1649
-118.579343,1000,29.385822
-121.346034,1000,29.607117
-80.877703,1000,29.829106
-135.278492,1000,30.050365
-94.92337,1000,30.271448
-177.169675,1000,30.493008
-91.594818,1000,30.715128
-158.567466,1000,30.937057
-62.159758,1000,31.158719
-66.662188,1000,31.380952
-108.131172,1000,31.60231
-116.951754,1000,31.824343
-63.673104,1000,32.045929
-144.682927,1000,32.267142
-143.990958,1000,32.488843
-86.02461,1000,32.710595
-148.00525,1000,32.932412
-94.652156,1000,33.15416
-121.280827,1000,33.37557
-96.901955,1000,33.5968
-118.967602,1000,33.817329
-110.088733,1000,34.038748
-137.22256,1000,34.260105
-118.437616,1000,34.482281
-106.605329,1000,34.703875
-78.288335,1000,34.925717
