#{"t_start": 1765922405.122347, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.02763
-119.873241,78,0.040107
-185.423307,64,0.050085
-378.535805,103,0.065865
-94.028087,74,0.077176
-134.417226,82,0.089736
-69.773732,69,0.100548
-80.346048,66,0.110668
-98.433323,99,0.125657
-128.721477,86,0.138822
-106.935682,63,0.148713
-210.401383,123,0.167426
-24.562101,118,0.185733
-159.970179,96,0.20253
-184.931992,86,0.216433
-252.284918,95,0.231881
-117.603257,73,0.243719
-195.296726,79,0.256239
-330.765139,114,0.273625
-186.305433,62,0.283308
-261.02582,86,0.296436
-208.709401,84,0.309089
-112.779172,69,0.319733
-100.79759,60,0.643396
-29.663361,77,0.655518
-309.573768,66,0.666068
-116.648891,97,0.681004
-86.661865,70,0.69165
-139.988862,95,0.70647
-31.981804,85,0.719635
-440.246704,101,0.735221
-109.280732,116,0.752914
-251.584774,84,0.76584
-156.243179,74,0.777087
-76.705106,73,0.788382
-67.444807,86,0.801677
-76.866833,98,0.816711
-74.323468,135,0.837108
-121.420709,122,0.855522
-69.691003,119,0.873493
-135.907029,90,0.887266
-189.902748,110,0.903956
-92.280648,128,0.92326
-369.580542,135,0.943806
-130.736705,102,1.265753
-186.354121,105,1.283788
-30.061236,82,1.29782
1.37034,96,1.31371
-255.065114,133,1.334469
-135.500442,92,1.350857
-180.438481,126,1.422878
-160.567252,72,1.434327
-100.129208,83,1.447036
-129.699629,101,1.462533
-147.079068,119,1.480714
-70.289338,68,1.491321
-235.840742,89,1.505996
-205.161836,71,1.517269
-230.214065,95,1.531929
-91.089564,112,1.549414
-56.524336,70,1.560198
-116.548566,92,1.574051
-253.440608,117,1.591645
-88.783343,101,1.606903
-472.798322,102,1.622326
-65.077932,67,1.632604
-244.969145,115,1.957314
-501.324325,174,1.98382
-157.573787,138,2.004713
-49.881354,201,2.034822
-117.297655,88,2.048272
-164.232597,70,2.058997
-90.912991,87,2.072397
-426.193317,130,2.092003
-122.133105,107,2.10839
-305.108411,83,2.121373
-406.278692,163,2.146282
-365.507757,117,2.164202
-83.9043,65,2.17418
-259.508612,94,2.188468
-70.248557,78,2.200597
-287.70163,185,2.228482
-330.025352,165,2.253434
-61.609776,215,2.589458
-156.982481,112,2.606897
-202.134911,109,2.623625
-364.638214,149,2.646369
-126.809232,168,2.671571
-46.180683,92,2.68554
-97.440786,80,2.69802
-226.414856,126,2.717228
-94.388012,146,2.739265
-230.516603,142,2.76085
-187.915779,81,2.773117
-152.544373,138,2.793802
-98.497309,160,2.817775
-121.857814,152,2.84071
-56.60611,75,2.852136
-267.354138,107,2.868246
-40.345977,70,3.179133
-197.633837,126,3.19805
6.801906,89,3.211364
-147.970906,155,3.234894
-123.327002,94,3.249138
-63.730218,135,3.269616
-80.848778,84,3.282642
-125.076315,148,3.304899
-101.60295,119,3.322881
-81.908314,107,3.339106
-200.365742,149,3.3614
-135.103703,88,3.374694
-218.947128,134,3.394839
-189.24194,160,3.418941
-112.221589,123,3.437419
-171.502298,106,3.453326
-189.830178,96,3.467683
-92.84808,118,3.78394
-100.063814,98,3.799374
-86.240589,95,3.814226
-187.196024,109,3.831179
-244.063081,152,3.854169
-356.190793,171,3.880052
-176.144095,150,3.902876
-270.84591,125,3.922124
-250.638315,125,3.941222
-61.247727,85,3.954613
-26.346324,80,3.966998
-102.32513,92,3.980909
-257.34433,159,4.004919
-38.961772,78,4.016962
-13.991499,93,4.031143
-152.347933,109,4.047823
-70.309032,143,4.069465
-82.513821,191,4.402267
-288.843413,168,4.42975
-211.968869,176,4.458004
-214.649971,148,4.481332
-406.773737,139,4.50482
-206.681948,121,4.525655
-141.615528,145,4.549807
-21.24934,108,4.566629
-201.823577,102,4.582352
