#{"t_start": 1765923561.3707242, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.043927
-119.873241,78,0.056717
-185.423307,64,0.066758
-378.535805,103,0.083407
-94.028087,74,0.095286
-134.417226,82,0.136269
-69.773732,69,0.147586
-74.9191,67,0.158452
-82.719534,73,0.17001
-472.871167,89,0.184557
-84.11878,90,0.19885
-131.556473,93,0.214065
-35.489871,98,0.259246
-116.035673,71,0.270312
-450.606849,103,0.28663
-73.883752,69,0.297695
-123.866514,69,0.30908
-108.520887,82,0.321774
-119.282983,74,0.361225
-493.947089,98,0.377004
-144.600891,90,0.391197
-118.174815,65,0.401158
-305.484475,108,0.417931
-207.233521,71,0.429296
-235.983363,61,0.467043
-124.210772,64,0.477855
-112.851563,66,0.488512
-85.933336,74,0.500075
-181.503368,65,0.510577
-185.289958,70,0.521676
-290.973536,91,0.535741
-133.309591,94,0.577982
-153.167188,117,0.596683
-93.934284,57,0.605763
-132.321214,64,0.615657
-264.025609,86,0.62954
-412.973077,96,0.644598
-229.456397,101,0.686931
-56.397514,68,0.698008
-398.77992,88,0.712153
-132.851087,100,0.727711
-86.728136,60,0.736903
-232.712614,79,0.749266
-95.418291,62,0.759306
-131.54185,99,0.80154
-153.697405,117,0.820469
-62.174785,87,0.834179
-347.812062,99,0.849436
-226.496288,99,0.864966
-91.151924,60,0.901245
-170.157818,110,0.918643
-105.705649,110,0.936041
-76.208446,77,0.948137
-291.385973,86,0.961604
-208.180295,76,0.9736
-69.405705,113,1.019041
-129.275713,130,1.039446
-130.806181,93,1.053754
-224.457797,115,1.072005
-107.267037,99,1.114379
-207.069767,113,1.132198
-92.954416,72,1.143475
-134.250178,90,1.157738
-12.602575,61,1.16723
-56.660718,92,1.181991
32.553239,93,1.223859
-170.509771,110,1.241121
-162.038846,92,1.255209
-561.598565,141,1.27749
-140.247027,134,1.298022
-348.020037,103,1.341423
-93.126171,93,1.356011
-58.235463,68,1.366467
-111.428832,94,1.38134
-82.816086,94,1.396026
-184.354451,83,1.436112
-76.577146,65,1.446542
-147.580703,81,1.459609
-113.161201,69,1.470299
-195.853443,110,1.487409
-86.657485,69,1.498245
-435.076701,109,1.541845
-45.948889,81,1.554428
-82.231885,82,1.567258
-105.362712,66,1.578024
-257.395999,93,1.592874
-69.163374,73,1.604221
-363.767295,83,1.617521
-90.567017,76,1.658022
-256.602219,106,1.675436
-204.5011,138,1.696635
-81.749607,90,1.710722
-329.109602,84,1.723779
-113.490149,81,1.763728
-132.137978,129,1.783961
-148.053314,90,1.798424
-154.709685,115,1.816375
-75.613222,59,1.825703
-211.798154,85,1.86695
-124.922864,92,1.882192
-235.033414,138,1.903671
13.446241,87,1.920206
-129.65478,119,1.938849
-162.755787,109,1.982747
-144.671413,111,2.001041
-84.248193,135,2.022153
-199.59611,102,2.037888
-94.096912,80,2.050298
-289.171478,85,2.091078
-69.749275,74,2.102983
-104.259551,80,2.115693
-106.940422,85,2.128986
-159.235791,60,2.13838
-331.682514,122,2.157246
-89.086695,103,2.200244
-103.297319,116,2.218489
-13.4629,95,2.233448
-77.879076,83,2.246554
-24.742495,121,2.265765
-173.515507,92,2.307064
-185.608726,100,2.323025
-127.29017,72,2.334139
-51.514267,71,2.34552
-81.466488,54,2.35398
-135.400335,93,2.368414
-71.990509,77,2.381139
-5.464623,63,2.418373
-85.798432,68,2.429475
-114.81481,62,2.439436
-105.507478,107,2.456199
-101.910633,89,2.469738
-128.976663,124,2.489017
-97.43889,85,2.529143
-109.318627,115,2.547069
-165.287144,71,2.558648
-100.961448,133,2.579184
-212.49277,120,2.625365
-180.416207,99,2.641066
-241.900589,100,2.656646
-224.16812,104,2.67288
-44.749771,127,2.692633
-256.061148,94,2.733997
-116.234428,71,2.7453
-44.104182,72,2.756979
38.588637,89,2.771048
-244.745574,112,2.788797
-102.520245,74,2.8003
-109.418482,126,2.846601
-171.62364,142,2.86873
-273.75309,104,2.88502
-208.37844,83,2.8984
-119.667292,80,2.911048
-129.333779,95,2.952278
-77.115123,69,2.963424
-177.344893,66,2.974048
-364.423417,90,2.988106
-152.952986,92,3.002188
-116.355468,120,3.020893
-138.932467,118,3.066303
-87.788844,90,3.080446
-136.867558,93,3.095094
-193.075063,108,3.111697
-188.552658,125,3.1311
-123.88066,108,3.175552
-48.802818,131,3.196133
-368.955863,100,3.211793
-184.387439,87,3.22542
-147.184052,116,3.270885
-121.536323,136,3.292792
-106.995531,100,3.308402
-263.547373,103,3.324228
-63.38374,122,3.343245
-108.299676,80,3.382347
-44.592508,70,3.393854
-91.3989,89,3.407966
69.098661,1000,3.623367
-147.72404,105,3.639719
-126.206095,110,3.656935
-104.086897,62,3.666516
-81.931849,82,3.705998
-243.119219,97,3.721005
-191.231596,124,3.740176
-82.573075,65,3.750162
-77.973379,77,3.762821
-265.208382,99,3.778786
-62.688433,87,3.818718
-137.380964,94,3.833721
-192.063246,87,3.847157
2.141914,89,3.861354
-60.066053,88,3.875012
-108.706004,62,3.884676
-286.363198,137,3.932708
-134.683701,80,3.94549
-157.729424,70,3.956657
-148.162166,99,3.971996
-243.360519,119,3.990246
-116.442913,127,4.03661
-123.621632,70,4.047692
-101.125272,130,4.067658
-52.600984,71,4.079033
-119.042146,128,4.098606
-58.322975,82,4.137903
-162.148081,107,4.154718
-178.830285,157,4.179536
-224.346047,103,4.195318
-242.684036,108,4.239126
-123.825852,71,4.250309
-80.0611,83,4.263493
-194.968037,118,4.281972
-64.081996,91,4.296175
-113.605431,140,4.344471
-64.366387,78,4.357044
-99.28023,145,4.379612
-121.73447,128,4.399379
-79.80963,83,4.412583
-143.460142,102,4.455468
-141.947841,168,4.481747
-163.627554,100,4.49741
-235.992925,149,4.52054
-119.214612,103,4.564163
-328.501259,79,4.577173
-236.656176,149,4.599915
-74.259335,80,4.612649
-65.410571,79,4.625065
-86.819701,79,4.664512
-159.56778,148,4.687803
-104.692305,120,4.706873
