#{"t_start": 1765923774.862907, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.043314
-119.873241,78,0.056121
-185.423307,64,0.06645
-378.535805,103,0.082746
-94.028087,74,0.094233
-134.417226,82,0.126085
-69.773732,69,0.13753
-74.9191,67,0.148223
-82.719534,73,0.159473
-472.871167,89,0.173981
-84.11878,90,0.18815
-138.799759,94,0.203065
-67.479222,74,0.233231
-72.039714,59,0.242479
-38.371426,96,0.257722
-75.198282,133,0.278562
-206.728531,109,0.295373
-262.696878,93,0.32931
-496.44322,101,0.34519
-136.709613,78,0.357463
-116.439629,62,0.367332
-215.907887,78,0.379688
-68.074596,86,0.392871
-58.015931,83,0.423805
-133.916526,75,0.43607
-99.21807,74,0.448009
-269.49065,125,0.467258
-120.577891,107,0.484114
-59.456204,70,0.495123
-30.304724,98,0.52855
-187.941828,98,0.543466
-108.186052,62,0.553288
-155.182843,116,0.571699
-208.315445,81,0.585045
-204.200809,113,0.620571
-138.5625,109,0.637646
-288.235311,77,0.649898
-183.275893,85,0.663256
-83.00671,119,0.681761
-187.08326,78,0.694289
-124.531948,103,0.728981
-130.422542,79,0.741163
-156.741064,88,0.755222
-108.234466,78,0.767646
-356.463624,101,0.783435
-154.014734,76,0.795456
-72.5856,70,0.824558
-427.091022,97,0.83992
-163.092802,68,0.850766
-299.387513,119,0.869016
-204.980553,116,0.88691
-83.561325,76,0.917616
-143.575565,129,0.937538
-339.514609,99,0.952999
-136.270824,96,0.968026
-237.927515,93,0.982575
-110.417276,87,1.014669
-243.346164,120,1.034381
-161.306911,63,1.044814
-113.015282,98,1.059977
-327.877907,89,1.074047
-178.27851,79,1.087025
-406.064016,106,1.121979
-268.319288,112,1.139232
-129.851183,98,1.155193
-87.09628,65,1.166444
-70.790454,59,1.17617
-104.164701,70,1.187681
-193.908793,104,1.221766
-24.399496,133,1.242223
-164.487764,95,1.257031
-106.672439,117,1.275584
-127.993451,88,1.289467
-109.368572,76,1.319705
-114.67253,77,1.33213
-256.446413,114,1.350189
23.090635,79,1.362623
