#{"t_start": 1765923366.101408, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.030777
-119.873241,78,0.042987
-185.423307,64,0.053088
-378.535805,103,0.069549
-94.028087,74,0.081115
-134.417226,82,0.093787
-69.773732,69,0.104419
-80.346048,66,0.114671
-98.433323,99,0.129741
-128.721477,86,0.142913
-106.935682,63,0.153053
-210.401383,123,0.206088
-24.562101,118,0.224883
-159.970179,96,0.239898
-207.281972,85,0.253057
-143.561914,106,0.269222
-328.349801,101,0.284849
-252.570218,94,0.299438
-188.741516,87,0.314149
-132.003319,81,0.327123
-95.596127,77,0.339287
-111.139257,64,0.349609
-352.998617,100,0.365326
17.659947,84,0.414524
-183.716285,79,0.426972
-370.601781,104,0.442973
-123.584193,118,0.461953
-64.351035,67,0.472375
-116.468596,85,0.486118
-502.337084,88,0.500195
-126.709234,75,0.512128
-239.85125,104,0.528339
-307.524346,109,0.545416
-70.910573,86,0.558772
-94.593694,91,0.605617
-279.867759,96,0.620446
-222.978275,98,0.635484
32.155716,133,0.656117
-72.377474,87,0.670009
-70.326628,65,0.680412
-69.335827,67,0.690997
-227.233944,83,0.703879
-96.083637,78,0.716139
-108.560534,87,0.729785
-374.569837,113,0.747107
-106.977528,137,0.80113
-271.355949,86,0.814783
-59.970023,68,0.825285
-121.997242,136,0.846206
-104.632132,119,0.864389
-250.822851,94,0.8789
-127.87033,81,0.891183
-301.761511,74,0.902811
-153.07891,85,0.916172
-99.463237,75,0.927719
-217.99678,128,0.979769
-200.508852,112,0.997328
-199.886145,82,1.010044
-318.228317,108,1.026547
-36.138825,122,1.045569
-105.966032,81,1.057806
-139.050611,134,1.078011
-10.006149,60,1.087121
-86.699556,106,1.103443
-465.739879,105,1.119635
-292.801525,118,1.169651
-128.107433,108,1.186504
-71.856155,66,1.196949
-239.445209,93,1.21137
-170.075001,95,1.225872
-486.372365,110,1.242829
13.213755,136,1.263577
-154.588427,107,1.280014
-212.259261,82,1.293083
-120.246683,120,1.311375
-285.157827,77,1.323412
-272.247403,91,1.370898
-110.751707,83,1.383771
-118.781244,67,1.394222
-210.740781,76,1.406094
-143.231804,103,1.42201
-354.575118,107,1.438055
-109.353299,107,1.454346
-82.540807,135,1.475185
-140.957917,62,1.485047
25.182501,82,1.497877
-386.341637,90,1.511401
-120.977931,81,1.555811
-389.44458,99,1.570842
-162.060075,92,1.585352
-188.282714,82,1.59824
-139.580167,117,1.616291
-334.831026,96,1.631045
-243.65024,73,1.642329
-186.839586,89,1.656243
-356.690746,113,1.673616
-211.447003,105,1.689694
-72.032655,105,1.705801
-129.669493,88,1.752291
-182.663864,140,1.773775
-113.340979,72,1.784955
-159.97075,105,1.801054
-134.22026,94,1.815733
-372.515805,78,1.827739
-296.603293,82,1.840543
-153.409067,70,1.851527
-115.299209,101,1.867064
-254.669977,102,1.883049
-93.70671,62,1.89282
-178.584717,72,1.936807
-536.991434,98,1.952418
-92.602357,71,1.963648
-135.202005,102,1.979345
-131.021416,113,1.996683
-115.045198,76,2.008413
-76.960059,62,2.018031
-87.728714,81,2.030528
-174.648249,61,2.040159
-146.681325,128,2.059885
-139.591066,73,2.071041
-233.661881,109,2.087488
-145.471333,66,2.130381
-81.490895,61,2.139811
-97.244674,112,2.15697
-138.985546,98,2.172156
-232.953819,76,2.18436
-115.350178,86,2.197764
-288.14446,102,2.213465
-81.718921,68,2.223862
-284.905399,99,2.238902
-63.635143,76,2.250862
-133.025131,116,2.268748
-176.87469,123,2.320134
-122.693215,96,2.335144
-214.15207,112,2.352543
-192.306973,95,2.367353
-67.450611,69,2.378076
-194.372255,140,2.399783
-110.927064,83,2.412861
-98.869223,107,2.42913
-57.790205,66,2.439771
-148.181828,87,2.453277
-90.215749,67,2.463928
-75.846499,63,2.473896
-358.170581,98,2.521675
-119.83126,77,2.533791
-334.212245,99,2.549182
-106.395548,82,2.561759
-92.497165,79,2.573841
-103.606146,59,2.582964
-103.944627,88,2.596417
-234.560985,103,2.612036
-198.109978,95,2.626904
-117.418329,83,2.639769
-143.648396,76,2.651406
-131.924671,71,2.662533
-156.762003,92,2.708517
-58.05775,85,2.721754
-380.016962,139,2.742998
-130.774005,76,2.754779
-66.688666,85,2.768063
