#{"t_start": 1765923099.833052, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.024738
-119.873241,78,0.036804
-185.423307,64,0.046606
-378.535805,103,0.062327
-94.028087,74,0.073956
-134.417226,82,0.104615
-69.773732,69,0.115851
-74.9191,67,0.126279
-82.719534,73,0.137788
-472.871167,89,0.151616
-84.11878,90,0.165527
-138.799759,94,0.180056
-67.479222,74,0.207332
-72.039714,59,0.216695
-38.371426,96,0.232063
-75.198282,133,0.252491
-206.728531,109,0.269384
-262.696878,93,0.299153
-496.44322,101,0.314554
-136.709613,78,0.326518
-116.439629,62,0.336156
-215.907887,78,0.348219
-68.074596,86,0.361289
-58.015931,83,0.389297
-133.916526,75,0.401108
-99.21807,74,0.412545
-269.49065,125,0.431632
-120.577891,107,0.447798
-59.456204,70,0.458371
-30.304724,98,0.488327
-187.941828,98,0.503208
-108.186052,62,0.512759
-155.182843,116,0.530385
-208.315445,81,0.542902
-204.200809,113,0.574808
-138.5625,109,0.591796
-288.235311,77,0.604511
-183.275893,85,0.617741
-83.00671,119,0.635738
-187.08326,78,0.647796
-124.531948,103,0.679379
-130.422542,79,0.691476
-156.741064,88,0.705186
-108.234466,78,0.717205
-356.463624,101,0.732417
-154.014734,76,0.744148
-72.5856,70,0.772729
-427.091022,97,0.787924
-163.092802,68,0.798966
-299.387513,119,0.817435
-204.980553,116,0.835073
-83.561325,76,0.864279
-143.575565,129,0.884468
-339.514609,99,0.899909
-136.270824,96,0.914598
-237.927515,93,0.928924
-110.417276,87,0.957539
-243.346164,120,0.976082
-161.306911,63,0.985931
-113.015282,98,1.000982
-327.877907,89,1.014737
-178.27851,79,1.026782
-406.064016,106,1.059125
-268.319288,112,1.076094
-129.851183,98,1.091543
-87.09628,65,1.102112
-70.790454,59,1.111687
-104.164701,70,1.123321
-193.908793,104,1.155818
-24.399496,133,1.176469
-164.487764,95,1.191078
-106.672439,117,1.209143
-127.993451,88,1.223409
-109.368572,76,1.258643
-114.67253,77,1.272149
-256.446413,114,1.290661
23.090635,79,1.303675
-151.316959,121,1.361371
-149.155383,105,1.395565
-245.401471,130,1.416763
-97.369939,60,1.426016
-330.315156,96,1.440792
-90.490721,72,1.451964
-342.429415,87,1.46531
-68.231963,64,1.490566
-94.855279,78,1.502606
-224.776186,153,1.52614
-87.713514,72,1.537491
-49.571228,68,1.548028
-60.541781,111,1.56508
-106.765334,68,1.590457
-63.928588,71,1.601485
-229.051594,79,1.613671
-151.936808,66,1.623872
-91.48983,100,1.639568
-337.047611,98,1.654914
-127.716807,68,1.680691
-222.25547,123,1.699656
-242.456543,98,1.714781
-212.538478,132,1.735406
-79.275336,65,1.745587
-281.2957,146,1.783024
-89.162554,138,1.804051
-189.165575,118,1.822147
-170.513014,106,1.838648
-286.878487,133,1.874356
-158.349358,82,1.887075
-141.858613,88,1.900662
-17.337792,112,1.918052
-163.700505,133,1.938323
-109.354964,62,1.962991
-272.316504,130,1.982946
-63.83508,98,1.998223
-117.995156,133,2.018487
-307.137038,101,2.033949
-95.25066,93,2.063337
-97.103852,61,2.072761
-41.985938,114,2.090167
-138.390223,113,2.107424
-189.345214,128,2.126875
-117.790895,72,2.153227
-41.273741,68,2.163916
-69.871555,90,2.177526
-95.398948,66,2.187652
-134.902971,71,2.198644
-294.468636,110,2.21517
-191.180928,112,2.249262
-60.267462,66,2.259441
-250.623228,117,2.278054
-44.000324,77,2.289913
-98.658482,75,2.301605
-115.089613,71,2.312776
-286.423488,125,2.347101
-346.240132,85,2.36005
-100.407288,92,2.374111
-278.078347,100,2.389469
-60.813145,70,2.400336
-196.20198,79,2.412426
-346.91481,83,2.439916
-81.343755,62,2.449657
-166.633965,94,2.46409
-95.345946,102,2.479487
-333.115294,117,2.497057
-122.230921,96,2.526728
-130.059073,90,2.540429
-118.185112,67,2.551221
-206.224929,121,2.570751
-300.926234,125,2.590024
-259.52267,102,2.621401
-77.384523,63,2.6313
-473.627875,111,2.648099
-188.373446,99,2.66358
-137.64965,87,2.677179
-219.360701,118,2.69546
-312.273368,155,2.734394
-105.717747,76,2.745964
-110.196987,80,2.757981
-81.364591,82,2.770282
-300.368165,136,2.808003
-57.017583,126,2.828254
-97.578313,69,2.839062
-131.340981,126,2.858119
-143.472646,136,2.878992
-90.962242,110,2.911143
-271.760878,94,2.925627
-107.682827,85,2.938641
-157.573041,120,2.956714
-81.782286,108,2.973106
-96.099172,124,3.006653
-173.28009,128,3.025891
-297.763677,119,3.043954
-184.907427,101,3.060351
-93.642155,77,3.072942
-191.890572,96,3.10446
-130.579722,93,3.119734
-306.748944,156,3.143525
-122.772623,94,3.157717
-256.896921,100,3.188326
-453.577342,126,3.207543
-80.630057,125,3.226493
-114.775832,91,3.240205
-263.860883,99,3.255303
-101.966646,139,3.291079
-99.17795,96,3.30562
-197.527323,91,3.319956
-130.86829,109,3.336807
-171.330913,79,3.349002
-301.821268,86,3.377268
-230.190706,106,3.393306
-322.270614,124,3.412418
-198.453577,85,3.425711
-222.767073,152,3.448912
-285.267756,114,3.48131
-85.413294,71,3.492092
-122.654327,77,3.504022
-174.113606,125,3.522982
-50.966472,144,3.559476
-87.400833,75,3.571062
-100.317024,134,3.591375
-145.341864,77,3.603403
-45.655661,75,3.615049
-148.236242,114,3.632397
-82.653219,69,3.657825
-147.610274,132,3.677883
-53.527345,73,3.689268
-106.208871,117,3.706963
-116.026251,71,3.717976
-46.90542,96,3.747452
-174.909813,106,3.763719
-141.801409,144,3.785265
-181.960193,148,3.807671
-57.148088,72,3.81885
-92.177354,111,3.850764
-115.80621,92,3.864903
-272.264065,94,3.879287
-285.571869,146,3.901264
-206.309136,136,3.937095
-172.5185,128,3.956445
-78.390663,69,3.967038
-256.04572,136,3.987601
-131.281085,71,3.998669
-205.411193,108,4.029974
-272.267311,117,4.047828
-425.154918,151,4.070549
-211.902432,109,4.086927
-556.593998,234,4.13829
-230.674061,101,4.154476
-115.297475,127,4.173991
-395.116603,195,4.219299
-283.07341,125,4.238266
-258.237806,138,4.259077
-201.414513,105,4.274883
-322.03097,141,4.311457
-97.331368,74,4.323002
-104.531224,84,4.335881
-98.885306,148,4.358512
-102.865055,119,4.377037
-368.874006,86,4.409312
-256.314864,145,4.431891
-155.760811,117,4.449918
-77.186223,94,4.46438
-180.819275,130,4.501638
-71.89901,102,4.517712
-72.997663,99,4.532803
-401.448506,146,4.555019
-301.593701,152,4.593228
-190.352593,129,4.613183
-177.341213,131,4.633075
-423.782169,96,4.647765
-72.661783,97,4.663061
-75.676328,137,4.700548
-210.062446,119,4.718734
-277.74422,124,4.737706
-138.148999,124,4.756734
-278.957018,108,4.788419
-78.477046,88,4.802055
-230.6875,131,4.821884
-114.266952,102,4.837331
-72.744054,117,4.855111
-283.485036,140,4.89401
-164.950567,92,4.908799
-163.727846,115,4.926551
-114.459894,114,4.944654
-84.04272,107,4.97715
-103.463377,75,4.989045
-90.482955,85,5.002251
-233.291195,177,5.028918
-119.929083,106,5.045011
-44.54244,134,5.080768
-172.191434,122,5.099568
-210.450453,120,5.117929
-97.292827,125,5.137173
-203.226958,135,5.174413
-314.867551,93,5.188905
-143.506034,166,5.214477
-115.550986,157,5.238361
-259.36873,94,5.269742
-105.767147,129,5.289557
-86.820067,86,5.303005
-282.278534,133,5.323246
-154.17061,97,5.353258
-92.139094,136,5.373931
-466.362385,181,5.401544
-149.051152,113,5.419498
-180.105037,165,5.462524
-52.058644,86,5.475728
-140.553181,220,5.511226
-247.127474,125,5.54662
-240.901367,89,5.560187
-50.966046,113,5.577733
-56.281512,102,5.593365
-233.317203,165,5.618458
-176.091416,107,5.652038
-217.839745,96,5.666732
-255.713143,147,5.689112
-261.553672,145,5.711183
-362.686357,341,5.783424
-80.315384,139,5.804696
-265.299516,126,5.842163
-82.790659,160,5.866892
-256.898594,90,5.880651
-18.262669,123,5.900277
-382.7098,177,5.942925
-166.309557,110,5.959774
-370.523225,200,5.990046
-367.135262,115,6.022876
-571.764057,134,6.043355
-404.750379,157,6.068152
-112.238904,168,6.093664
-394.291035,159,6.133243
-421.832718,123,6.152264
-313.997375,190,6.181456
-289.680957,112,6.213616
-234.695807,151,6.23624
-351.361911,105,6.252056
-73.194799,86,6.265354
-429.476219,108,6.281632
-356.332962,170,6.321995
-322.971449,129,6.341508
-62.967817,162,6.366219
-373.492687,115,6.398674
-166.501595,162,6.423426
-282.159694,155,6.446914
-234.654649,128,6.466445
-174.858919,103,6.497275
-133.762577,137,6.51812
-281.58108,154,6.541384
-129.115025,104,6.557298
-370.056301,291,6.615882
-257.117198,170,6.641535
-13.261332,133,6.676579
-320.270053,152,6.699753
-342.116237,148,6.722131
-474.187322,213,6.769345
-332.217878,147,6.791916
-564.246628,167,6.817291
-226.142348,203,6.862843
-116.84612,125,6.881994
-269.428927,226,6.916
-219.087267,132,6.950867
-190.399193,165,6.976114
-207.062117,215,7.009011
-298.508474,173,7.051391
-148.50009,173,7.077651
-59.7202,148,7.100017
-154.228307,139,7.121206
-271.629328,191,7.166307
-45.437212,136,7.186796
-153.348581,238,7.239694
-201.263035,166,7.265746
-255.966986,100,7.28208
-8.638655,139,7.303471
-186.29729,139,7.340107
-34.704336,106,7.35643
-105.186785,125,7.375529
-102.061014,212,7.422016
-334.339186,281,7.464
-464.618631,159,7.489261
-184.634274,156,7.530307
-271.690144,152,7.55311
-239.918941,133,7.573254
-315.661605,145,7.610437
-293.036756,160,7.634939
-207.572601,100,7.650169
-33.866085,182,7.67868
-231.65359,156,7.717675
-71.633961,183,7.745588
-264.762445,262,7.80106
-211.029232,214,7.833644
-286.921531,148,7.856047
-309.430083,216,7.903672
-413.827651,233,7.939834
-326.831966,144,7.961665
-293.587795,144,7.999221
-272.130042,142,8.020825
-233.285875,228,8.055218
-349.135645,184,8.098721
-454.342585,198,8.128579
-282.394569,139,8.14971
-208.500661,209,8.196347
-515.613841,294,8.240694
-121.233085,245,8.292254
-271.030193,176,8.319036
74.039463,1000,8.507507
-188.074437,134,8.528174
-108.974855,99,8.559067
-100.739703,140,8.58043
-17.9236,107,8.597691
-36.091285,193,8.651332
-85.137157,115,8.670492
-107.758106,152,8.695783
-223.925368,175,8.722764
-22.040543,173,8.765938
18.400973,134,8.786523
-327.196186,161,8.81077
-19.48723,139,8.847708
-124.892426,150,8.870471
-0.927715,130,8.890809
37.171225,185,8.91979
-206.096301,158,8.959636
-185.475209,328,9.00974
-190.378215,140,9.046852
-119.531077,112,9.064186
-256.477907,189,9.092496
-53.851447,169,9.135879
-153.389755,118,9.154448
-78.845329,107,9.170972
-259.098388,196,9.200659
-59.967269,121,9.235134
-81.858777,129,9.254719
-202.995333,292,9.298596
30.099339,155,9.337655
9.522215,1000,9.524524
-56.949053,259,9.565001
-69.947729,133,9.601289
-96.491569,259,9.640674
-151.788818,168,9.666408
-63.540262,113,9.700739
-65.874201,188,9.729275
-287.187283,211,9.761606
-263.945272,181,9.805087
-333.070668,878,9.958465
-322.679885,182,10.001618
-66.749924,151,10.024663
-380.579857,186,10.053058
-170.466205,251,10.108287
-262.94212,160,10.133118
-368.2775,192,10.178871
-89.098169,116,10.197347
-121.63665,224,10.232229
-103.310957,113,10.249704
-59.533779,111,10.282354
-239.075239,127,10.30175
-90.064766,271,10.342771
-217.589629,173,10.384297
-224.059319,249,10.423759
-291.603878,270,10.481192
-425.354766,181,10.509707
-365.979255,255,10.565797
-185.64457,413,10.629484
-8.099491,188,10.673796
-397.980801,196,10.704014
-209.826013,224,10.754941
-82.584347,231,10.790739
-271.560279,253,10.844534
-107.750863,237,10.881307
-113.336253,287,10.93977
-275.372019,302,10.985912
-340.551759,506,11.083038
-62.457625,265,11.139534
-75.538837,356,11.193488
-4.52782,1000,11.381324
-220.213335,298,11.441647
37.314798,1000,11.632277
-67.384847,244,11.669745
-144.272941,218,11.71812
-14.248582,181,11.745621
23.160065,201,11.790499
22.957522,1000,11.978506
-134.81799,262,12.018875
-153.339179,181,12.046837
-115.565487,312,12.109708
-246.273069,367,12.180489
-152.148389,151,12.206155
-221.604894,255,12.260445
-81.337139,269,12.302171
-37.905585,180,12.329513
34.818206,190,12.373921
-24.467852,251,12.412194
-9.232191,106,12.428406
11.498548,182,12.470572
-37.83874,179,12.497587
-6.596275,183,12.540062
-0.919416,1000,12.712393
-54.261723,212,12.760507
-11.416167,177,12.787624
-66.63356,197,12.832744
14.422694,174,12.859061
41.17927,164,12.883769
-4.452479,211,12.93034
-20.639301,1000,13.119849
-17.378845,1000,13.305129
44.963294,1000,13.488573
-29.940706,178,13.515435
-6.329383,183,13.542929
22.218281,1000,13.735812
-132.13844,216,13.784301
37.559234,183,13.81226
26.732366,164,13.837118
55.069072,1000,14.028121
-27.709915,213,14.075873
36.865348,245,14.113277
78.110646,1000,14.302592
80.895148,1000,14.491695
-6.178364,343,14.560786
-77.684953,195,14.590285
-22.867055,165,14.61527
85.392863,1000,14.803884
-77.580915,200,14.849886
-5.78774,272,14.890878
-57.079428,377,14.963805
-6.809187,243,15.015245
-257.788282,498,15.104537
-246.798023,378,15.161278
-157.999839,432,15.244814
-74.159365,204,15.275851
-34.498193,384,15.351198
-23.992049,345,15.418276
116.526996,1000,15.604101
39.439445,277,15.646383
43.52492,1000,15.834004
-33.360661,423,15.912325
13.177548,206,15.958029
94.653344,1000,16.156755
-78.743466,519,16.252917
-49.219281,362,16.308605
-76.099509,269,16.36512
159.898926,1000,16.554323
-288.973967,378,16.617227
-149.584226,313,16.685309
-194.885171,290,16.745981
-212.504377,214,16.778246
-203.579838,405,16.854747
-171.850689,236,16.891284
-129.947873,216,16.940052
-216.89203,323,16.989407
-183.013237,450,17.073056
-28.658524,218,17.121709
-131.55282,333,17.172745
-194.447051,323,17.237841
-10.005989,308,17.30329
17.953366,215,17.335879
-13.792749,153,17.359151
-162.554893,505,17.451498
-130.737093,265,17.506672
-93.616081,243,17.543435
-80.160325,288,17.601606
-216.797302,596,17.706441
-159.055555,709,17.827522
-28.275555,252,17.881055
-79.488588,435,17.961328
-119.345155,284,18.005993
-4.322082,232,18.056411
10.403949,1000,18.238341
-110.844713,872,18.385278
-26.326992,242,18.437069
-22.868624,224,18.471378
-18.914856,402,18.548047
