#{"t_start": 1765923137.472439, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.025616
-119.873241,78,0.037977
-185.423307,64,0.048729
-378.535805,103,0.06512
-94.028087,74,0.077003
-134.417226,82,0.106732
-69.773732,69,0.117497
-74.9191,67,0.128047
-82.719534,73,0.139625
-472.871167,89,0.153869
-84.11878,90,0.167702
-138.799759,94,0.182467
-67.479222,74,0.210537
-72.039714,59,0.220081
-38.371426,96,0.235236
-75.198282,133,0.255966
-206.728531,109,0.272858
-262.696878,93,0.30307
-496.44322,101,0.319115
-136.709613,78,0.331736
-116.439629,62,0.341483
-215.907887,78,0.35349
-68.074596,86,0.367005
-58.015931,83,0.396146
-133.916526,75,0.408431
-99.21807,74,0.419956
-269.49065,125,0.439406
-120.577891,107,0.456109
-59.456204,70,0.466978
-30.304724,98,0.498176
-187.941828,98,0.513298
-108.186052,62,0.523217
-155.182843,116,0.541211
-208.315445,81,0.555788
-204.200809,113,0.593466
-138.5625,109,0.611479
-288.235311,77,0.623809
-183.275893,85,0.636949
-83.00671,119,0.655411
-187.08326,78,0.667438
-124.531948,103,0.699298
-130.422542,79,0.711545
-156.741064,88,0.725368
-108.234466,78,0.737357
-356.463624,101,0.752715
-154.014734,76,0.764599
-72.5856,70,0.790899
-427.091022,97,0.806439
-163.092802,68,0.816987
-299.387513,119,0.836354
-204.980553,116,0.854605
-83.561325,76,0.882833
-143.575565,129,0.902941
-339.514609,99,0.918431
-136.270824,96,0.93452
-237.927515,93,0.950331
-110.417276,87,0.981525
-243.346164,120,1.000933
-161.306911,63,1.010837
-113.015282,98,1.025975
-327.877907,89,1.039923
-178.27851,79,1.052781
-406.064016,106,1.086971
-268.319288,112,1.104791
-129.851183,98,1.120138
-87.09628,65,1.130388
-70.790454,59,1.139808
-104.164701,70,1.151835
-193.908793,104,1.186356
-24.399496,133,1.208657
-164.487764,95,1.225122
-106.672439,117,1.246676
-127.993451,88,1.263446
-109.368572,76,1.29782
-114.67253,77,1.31163
-256.446413,114,1.331349
23.090635,79,1.396582
-151.316959,121,1.416478
-149.155383,105,1.452357
-245.401471,130,1.473727
-97.369939,60,1.483098
-330.315156,96,1.498451
-90.490721,72,1.510043
-342.429415,87,1.523713
-68.231963,64,1.549537
-94.855279,78,1.562093
-224.776186,153,1.587811
-87.713514,72,1.599425
-49.571228,68,1.612248
-60.541781,111,1.630336
-106.765334,68,1.659673
-63.928588,71,1.672016
-229.051594,79,1.685093
-151.936808,66,1.696254
-91.48983,100,1.713188
-337.047611,98,1.7302
-127.716807,68,1.760117
-222.25547,123,1.780538
-242.456543,98,1.79608
-212.538478,132,1.818073
-79.275336,65,1.829401
-281.2957,146,1.871075
-89.162554,138,1.894883
-189.165575,118,1.914975
-170.513014,106,1.932118
-286.878487,133,1.971744
-158.349358,82,1.98513
-141.858613,88,1.999875
-17.337792,112,2.017778
-163.700505,133,2.039989
-109.354964,62,2.066119
-272.316504,130,2.086764
-63.83508,98,2.102364
-117.995156,133,2.123842
-307.137038,101,2.14002
-95.25066,93,2.172032
-97.103852,61,2.182125
-41.985938,114,2.2003
-138.390223,113,2.218165
-189.345214,128,2.239214
-117.790895,72,2.268943
-41.273741,68,2.280202
-69.871555,90,2.295162
-95.398948,66,2.306714
-134.902971,71,2.318165
-294.468636,110,2.335853
