#{"t_start": 1765922930.988972, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.022367
-119.873241,78,0.034429
-185.423307,64,0.044354
-378.535805,103,0.060147
-94.028087,74,0.071391
-134.417226,82,0.099381
-69.773732,69,0.110097
-74.9191,67,0.120318
-82.719534,73,0.131687
-472.871167,89,0.145455
-84.11878,90,0.159173
-138.799759,94,0.173484
-67.479222,74,0.200268
-72.039714,59,0.210034
-38.371426,96,0.225078
-75.198282,133,0.245018
-206.728531,109,0.261727
-262.696878,93,0.291256
-496.44322,101,0.306561
-136.709613,78,0.318494
-116.439629,62,0.32815
-215.907887,78,0.339999
-68.074596,86,0.353026
-58.015931,83,0.38108
-133.916526,75,0.39259
-99.21807,74,0.403936
-269.49065,125,0.422966
-120.577891,107,0.439143
-59.456204,70,0.449905
-30.304724,98,0.480553
-187.941828,98,0.504714
-108.186052,62,0.516942
-155.182843,116,0.535973
-208.315445,81,0.550281
-204.200809,113,0.586914
-138.5625,109,0.604265
-288.235311,77,0.61633
-183.275893,85,0.629603
-83.00671,119,0.64782
-187.08326,78,0.659913
-124.531948,103,0.691363
-130.422542,79,0.703303
-156.741064,88,0.716739
-108.234466,78,0.728757
-356.463624,101,0.743976
-154.014734,76,0.755526
-72.5856,70,0.781624
-427.091022,97,0.796315
-163.092802,68,0.806781
-299.387513,119,0.824901
-204.980553,116,0.84249
-83.561325,76,0.869298
-143.575565,129,0.889664
-339.514609,99,0.904589
-136.270824,96,0.919072
-237.927515,93,0.933369
-110.417276,87,0.961922
-243.346164,120,0.980303
-161.306911,63,0.989907
-113.015282,98,1.00474
-327.877907,89,1.018294
-178.27851,79,1.03202
-406.064016,106,1.063899
-268.319288,112,1.080944
-129.851183,98,1.095739
-87.09628,65,1.105632
-70.790454,59,1.114692
-104.164701,70,1.125529
-193.908793,104,1.156605
-24.399496,133,1.177003
-164.487764,95,1.19141
-106.672439,117,1.208995
-127.993451,88,1.222347
-109.368572,76,1.25434
-114.67253,77,1.267721
-256.446413,114,1.28617
23.090635,79,1.29897
-151.316959,121,1.341048
-149.155383,105,1.408361
-245.401471,130,1.42848
-97.369939,60,1.437817
-330.315156,96,1.452724
-90.490721,72,1.463755
-342.429415,87,1.477053
-68.231963,64,1.502129
-94.855279,78,1.514054
-224.776186,153,1.537148
-87.713514,72,1.548143
-49.571228,68,1.558426
-60.541781,111,1.57511
-106.765334,68,1.600358
-63.928588,71,1.611026
-229.051594,79,1.622854
-151.936808,66,1.633064
-91.48983,100,1.648404
-337.047611,98,1.663541
-127.716807,68,1.688886
-222.25547,123,1.707614
-242.456543,98,1.72232
-212.538478,132,1.742454
-79.275336,65,1.75239
-281.2957,146,1.79062
-89.162554,138,1.811941
-189.165575,118,1.829768
-170.513014,106,1.845843
-286.878487,133,1.881743
-158.349358,82,1.89452
-141.858613,88,1.907868
-17.337792,112,1.924802
-163.700505,133,1.944889
-109.354964,62,1.969653
-272.316504,130,1.989206
-63.83508,98,2.004159
-117.995156,133,2.024193
-307.137038,101,2.039394
-95.25066,93,2.069087
-97.103852,61,2.078553
-41.985938,114,2.095959
-138.390223,113,2.11308
-189.345214,128,2.132632
-117.790895,72,2.158917
-41.273741,68,2.169379
-69.871555,90,2.183467
-95.398948,66,2.19381
-134.902971,71,2.204636
-294.468636,110,2.221226
-191.180928,112,2.253831
-60.267462,66,2.264004
-250.623228,117,2.281772
-44.000324,77,2.293688
-98.658482,75,2.305091
-115.089613,71,2.315871
-286.423488,125,2.349788
-346.240132,85,2.362914
-100.407288,92,2.377175
-278.078347,100,2.392642
-60.813145,70,2.403406
-196.20198,79,2.415532
-346.91481,83,2.443801
-81.343755,62,2.453747
-166.633965,94,2.468336
-95.345946,102,2.48414
-333.115294,117,2.503269
-122.230921,96,2.535808
-130.059073,90,2.550146
-118.185112,67,2.560789
-206.224929,121,2.57932
-300.926234,125,2.598768
-259.52267,102,2.630187
-77.384523,63,2.63983
-473.627875,111,2.656789
-188.373446,99,2.671925
-137.64965,87,2.685395
-219.360701,118,2.70346
-312.273368,155,2.742249
