#{"t_start": 1765923347.109687, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.024879
-119.873241,78,0.037398
-185.423307,64,0.047139
-378.535805,103,0.063161
-94.028087,74,0.074733
-134.417226,82,0.105094
-69.773732,69,0.116343
-74.9191,67,0.127957
-78.71066,73,0.139816
-472.871167,89,0.154235
-84.11878,90,0.168534
-138.799759,94,0.18336
-67.479222,74,0.21518
-72.039714,59,0.225144
-38.371426,96,0.241705
-74.882329,133,0.262197
-206.728531,109,0.279797
-262.696878,93,0.310103
-496.44322,101,0.325974
-124.337568,81,0.338841
-188.749061,95,0.353531
19.127916,109,0.370243
-74.025306,63,0.379947
-182.936672,75,0.408642
-166.590027,89,0.422515
-268.952013,101,0.438595
-95.263365,69,0.449287
-124.809407,91,0.463208
-324.108051,113,0.480284
-109.983213,84,0.509118
-296.257348,89,0.522789
-106.897733,65,0.532733
-198.609038,82,0.545487
-103.235688,97,0.561248
-80.050763,69,0.57301
-147.282622,119,0.607555
-122.323457,96,0.623226
11.270195,115,0.64172
-92.927931,111,0.659475
-321.876646,104,0.69142
7.919689,82,0.704272
-216.223259,75,0.716172
-109.168276,101,0.732125
-276.916943,102,0.747887
-202.032081,98,0.762881
-230.023789,97,0.794048
-306.383971,81,0.806757
-131.627146,76,0.818524
-117.88764,112,0.835524
-148.379837,94,0.849806
-143.119558,61,0.859549
-230.365826,88,0.888591
-117.369048,100,0.904086
-184.233538,82,0.916991
-72.145378,67,0.927349
-38.368265,133,0.949184
-246.63559,134,0.987916
-441.094158,87,1.002823
-84.354667,73,1.015677
-117.535741,67,1.027471
-34.599172,57,1.037367
-241.536196,111,1.055564
-104.836469,62,1.065955
-42.945552,100,1.09924
-119.992884,73,1.110629
-95.119768,82,1.123486
-142.671756,80,1.136029
-152.133739,77,1.147964
-121.87205,67,1.158531
-347.551098,97,1.188774
-164.976712,82,1.201739
-45.799035,118,1.219554
-164.03333,109,1.236349
-88.344962,72,1.249232
-180.480594,60,1.260322
-64.682144,117,1.298574
-298.414261,77,1.311493
-190.819353,89,1.32606
-135.752654,134,1.348106
-174.629065,65,1.364577
-92.578016,133,1.45037
-190.105712,106,1.467838
-222.813334,80,1.480603
-351.734211,97,1.495772
-224.827992,78,1.508241
-101.14878,89,1.540986
-125.090411,125,1.56149
-71.890607,92,1.576929
-117.54228,123,1.597475
-170.636358,101,1.613716
-156.831524,86,1.645841
-61.509507,143,1.669417
-117.742155,71,1.680411
