#{"t_start": 1765923270.4740129, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.02454
-119.873241,78,0.03676
-185.423307,64,0.046555
-378.535805,103,0.062338
-94.028087,74,0.073787
-134.417226,82,0.102165
-69.773732,69,0.113013
-74.9191,67,0.12364
-82.719534,73,0.134953
-472.871167,89,0.148964
-84.11878,90,0.162847
-138.799759,94,0.177751
-67.479222,74,0.205043
-72.039714,59,0.214991
-38.371426,96,0.230478
-75.198282,133,0.250918
-206.728531,109,0.268244
-262.696878,93,0.300543
-496.44322,101,0.316188
-136.709613,78,0.328339
-116.439629,62,0.337996
-215.907887,78,0.349853
-68.074596,86,0.363254
-58.015931,83,0.391449
-133.916526,75,0.403051
-99.21807,74,0.414474
-269.49065,125,0.433523
-120.577891,107,0.44992
-59.456204,70,0.460766
-30.304724,98,0.491026
-187.941828,98,0.506085
-108.186052,62,0.515667
-202.996065,115,0.533601
-174.137637,137,0.554926
-193.918936,73,0.581783
-185.530918,114,0.599245
-148.10292,65,0.609333
-184.312423,93,0.62358
-114.878861,84,0.637083
-103.993226,82,0.65061
-171.34017,84,0.680799
-238.881827,98,0.69587
-134.534719,115,0.713462
-153.143812,157,0.737694
-110.614051,71,0.7487
-110.53334,131,0.785781
-33.93168,111,0.803157
-86.246986,76,0.8148
-145.931463,94,0.829706
-48.203004,72,0.841134
-265.083712,117,0.874521
-96.479444,70,0.885697
-210.434974,108,0.902353
-124.097677,76,0.914241
-169.23171,123,0.933301
-44.760218,77,0.945203
-396.741399,111,0.978323
-136.316491,115,0.996824
-72.956787,73,1.008535
-381.46703,85,1.021983
-189.02033,76,1.033645
-85.80887,100,1.064666
-77.644821,98,1.080446
-64.628158,143,1.102805
-265.77255,115,1.121103
-71.342955,67,1.131612
-150.779719,78,1.160576
-302.11705,103,1.176975
-100.688987,75,1.188822
-178.889763,107,1.205298
-110.030126,114,1.222695
-249.936232,133,1.263154
-77.218842,69,1.276108
-82.288972,80,1.289161
-67.847422,71,1.300567
-94.680519,116,1.321322
-347.31391,106,1.339632
-52.365311,113,1.431022
-69.16205,77,1.443205
-107.251201,67,1.453838
-221.458218,74,1.465306
-118.38455,78,1.477362
-245.807811,84,1.490522
-53.361822,121,1.524783
-218.606636,73,1.536161
-68.995444,64,1.546052
-215.040735,147,1.568906
-159.685856,163,1.608954
-140.958946,128,1.628745
-95.947006,118,1.646786
-170.699713,105,1.662656
-104.735001,57,1.671719
-92.582429,69,1.682224
-206.052832,82,1.709941
-159.193542,112,1.727035
-34.324188,80,1.739482
-89.017786,85,1.752374
-140.402336,96,1.767277
-213.301362,109,1.799777
-112.888813,88,1.813454
-23.100073,92,1.827597
-129.845354,96,1.842378
-385.668941,106,1.858734
-199.507264,126,1.892991
-95.76846,93,1.907446
-126.481606,66,1.917557
-175.825605,69,1.928493
-82.471838,71,1.939824
-194.750882,124,1.959079
-133.855342,94,1.988965
-101.668939,63,1.999822
-226.835444,119,2.019291
-90.602072,116,2.038817
-111.206149,112,2.05688
-87.971858,130,2.092842
-228.84439,95,2.108515
-183.713997,108,2.126039
-216.652077,105,2.142795
-241.836806,100,2.159157
-64.293675,57,2.185482
-102.263981,92,2.200796
-91.602071,70,2.212314
-85.930803,71,2.223585
-110.662405,125,2.242995
-300.516196,106,2.25984
-278.015877,98,2.291671
14.239739,153,2.315117
-55.658424,70,2.32615
-306.888135,150,2.349509
-234.245609,126,2.384601
-314.463129,91,2.39947
-232.937075,90,2.413259
-355.496249,102,2.431105
-76.471378,73,2.442847
-174.690732,93,2.457899
-114.721474,82,2.488775
-83.943514,67,2.499361
-236.715026,94,2.514357
-229.560677,103,2.530931
-344.443445,73,2.543242
-110.353576,82,2.556709
-300.134094,89,2.586537
-70.923997,148,2.609233
-225.444726,106,2.630073
-316.024601,119,2.667178
-110.754594,69,2.693045
-275.831579,85,2.7505
-525.686669,89,2.768294
-466.663419,132,2.799212
-307.29025,94,2.816266
-190.849295,164,2.912743
-45.808532,74,2.927204
-214.675295,125,2.948986
-75.342964,61,2.95953
-131.648579,88,2.974805
-155.234447,135,3.016547
-92.755163,67,3.028039
-87.729951,75,3.041052
-74.19807,80,3.055189
-171.30561,111,3.073781
-248.86868,80,3.08749
-96.523371,112,3.124773
-105.679091,99,3.142251
-193.817156,105,3.161678
-23.08161,78,3.175671
-94.272403,125,3.198142
-125.129856,148,3.243292
-113.156335,132,3.265751
-135.021345,85,3.280294
-138.281281,80,3.293627
-257.636122,96,3.30975
-93.964765,84,3.340685
-93.35641,82,3.354143
-84.187312,207,3.387108
-237.855008,114,3.405323
-72.971504,87,3.437241
-304.504148,93,3.452442
-131.613824,84,3.466568
-108.067493,74,3.478539
-161.706717,121,3.499196
-79.073969,83,3.51232
-89.203358,124,3.548866
-349.226521,146,3.571496
-125.61646,108,3.588283
-145.704766,92,3.602345
-172.465275,91,3.631875
-248.78168,89,3.646427
-335.88189,106,3.663146
-91.81699,103,3.679095
-69.180539,80,3.691719
-234.261935,117,3.709664
-359.270649,87,3.738685
-398.032555,131,3.75874
-36.052206,98,3.773953
-62.018175,68,3.784468
-187.817426,113,3.801856
-25.887292,81,3.830368
-84.793178,117,3.848704
-166.399965,180,3.87633
-290.078378,180,3.924263
-125.302782,100,3.945998
-193.264164,100,3.969165
-372.968482,120,4.001898
-305.471826,139,4.028743
-426.341815,95,4.062012
-56.228996,85,4.075469
-47.738986,143,4.097997
-42.006655,82,4.11075
-139.18768,125,4.130774
-44.940324,105,4.163178
-83.96732,73,4.174713
-80.228434,80,4.187437
-180.204158,153,4.212145
-101.796037,67,4.223213
-94.799757,80,4.253155
-45.52217,93,4.267594
-80.119144,81,4.281004
-73.463631,97,4.296854
-333.717481,190,4.326987
-141.754001,136,4.366073
8.389583,118,4.385784
-233.914073,157,4.411014
-374.461062,175,4.458205
-42.396721,160,4.484043
-137.297366,138,4.507508
-189.194717,97,4.52295
-141.345922,152,4.563741
-97.549337,123,4.583208
-99.982567,107,4.599974
-190.222561,112,4.617926
-107.417683,213,4.669242
-210.011898,87,4.683581
-159.570024,137,4.706276
-241.191137,151,4.747935
-322.484762,161,4.773664
-400.557468,159,4.798642
-124.118521,214,4.84937
-393.714746,117,4.868002
-96.896244,117,4.888183
-99.806787,104,4.904508
-225.78107,110,4.921896
-348.146461,173,4.966414
-254.215789,119,4.985842
-410.640472,101,5.002249
-206.639177,91,5.016899
-77.527722,124,5.05445
-66.919068,96,5.06979
-253.339398,118,5.088738
-185.112522,207,5.121781
-281.683096,103,5.155035
-147.444368,150,5.178865
-216.26013,107,5.195731
-223.671242,165,5.221771
-48.928529,87,5.251983
-248.707206,148,5.275338
-210.557219,138,5.297078
-223.773631,201,5.344213
-192.72969,93,5.358614
-136.223839,107,5.374913
-161.036732,180,5.402532
-132.986912,174,5.444689
-89.711384,105,5.460778
-80.179404,76,5.472497
-36.9389,141,5.493981
-372.858314,189,5.53786
-67.971001,139,5.559065
-272.199786,117,5.576863
-405.089648,169,5.602585
-296.488829,87,5.633411
-15.604403,137,5.654879
-58.062819,152,5.678359
19.034748,101,5.694187
-131.853545,98,5.724818
-4.482198,89,5.7388
-427.753967,125,5.757921
-65.543532,154,5.781703
-331.894553,154,5.820948
-392.636483,164,5.845846
-271.117534,158,5.869824
-90.620043,191,5.913812
-175.645609,230,5.948462
-293.906909,200,5.978832
-221.078165,113,6.01166
-199.444683,130,6.032769
-267.002816,167,6.059139
-101.311309,180,6.104639
-107.965203,167,6.130751
-202.739192,188,6.159409
-273.973246,131,6.19499
-336.86692,142,6.216635
-56.786458,127,6.236307
-91.984158,100,6.251583
-299.472371,192,6.296774
-124.740338,147,6.319582
-130.233174,287,6.378829
-33.77193,166,6.404652
-58.562299,163,6.429356
-306.484053,134,6.449794
-144.452613,164,6.490207
-15.745414,82,6.502762
-253.964746,96,6.517386
-172.693202,166,6.543018
-75.148247,89,6.572466
-162.17296,116,6.590473
-113.187093,156,6.614192
-66.33198,94,6.628707
-28.206492,1000,6.818151
-112.539376,167,6.868383
-152.70716,151,6.926044
-208.206566,144,6.951035
-230.648055,124,6.97788
-13.899218,168,7.036845
-51.272395,151,7.066596
-269.221136,216,7.101042
-153.212876,106,7.134169
-73.192983,122,7.153084
-41.945149,128,7.172949
-166.785372,179,7.200054
-56.609007,165,7.241754
-296.334052,172,7.26828
-246.21537,128,7.288212
-259.577721,165,7.329203
-84.222239,195,7.358779
-95.966562,112,7.376123
22.456163,153,7.414638
-79.093374,114,7.432315
-168.491147,97,7.447108
-53.622007,175,7.473859
-115.716694,150,7.512316
-124.781736,124,7.53125
-127.528247,121,7.54994
-77.042636,130,7.569879
-107.05904,155,7.608824
-264.469554,211,7.641448
58.452024,1000,7.833967
-373.949432,244,7.89246
-94.188713,241,7.931399
-244.468817,162,7.957145
-41.563192,137,7.997113
-176.11701,221,8.033532
-98.955681,139,8.05733
-11.211772,143,8.099145
-28.412608,210,8.133478
-274.993174,291,8.198883
-31.251314,139,8.222261
-259.369312,253,8.263898
-94.950387,169,8.375025
-72.061421,183,8.40636
-208.748853,222,8.441664
-189.166824,239,8.494971
-448.964133,277,8.537728
29.96348,197,8.585607
-181.954105,248,8.624911
0.25046,243,8.67888
-58.088275,196,8.709662
-186.536718,201,8.757604
-74.150359,198,8.788828
-0.13944,251,8.82799
-113.276512,192,8.874893
-85.111087,230,8.910701
-228.526559,198,8.958662
-146.467668,232,8.994246
-86.003413,184,9.022322
-35.118272,288,9.082443
-23.299582,184,9.111216
-90.166637,224,9.162382
-62.263519,187,9.19147
-1.711106,217,9.240912
-33.913458,109,9.258017
-93.766532,228,9.293507
-149.75279,228,9.344725
-223.817831,420,9.42601
-154.219699,219,9.459838
-278.195211,254,9.499305
-36.725538,340,9.56823
-123.439864,105,9.585001
-222.956463,294,9.64686
-267.944403,270,9.688863
-447.543438,243,9.741518
-58.226892,421,9.819817
-247.710421,248,9.856956
-194.302118,269,9.913292
-65.718249,315,9.961281
-237.488564,273,10.018736
-70.667167,1000,10.204873
-493.649642,336,10.271989
-248.938427,244,10.309401
-267.740535,201,10.33997
-262.972391,377,10.412731
-294.61823,330,10.477991
-337.437496,280,10.521696
-252.061254,195,10.567782
21.865874,1000,10.759293
-87.261909,241,10.796155
32.340438,176,10.823314
-162.868591,252,10.876938
50.576492,171,10.903358
-183.674267,300,10.96542
-61.912529,173,11.004695
64.639362,1000,11.228781
-165.582541,227,11.286434
-285.786876,327,11.342106
43.028673,1000,11.538176
-56.016617,129,11.558225
-0.012756,1000,11.746516
-131.858536,492,11.838669
-54.122286,220,11.889111
-26.538907,152,11.91197
96.158798,748,12.066048
-3.447525,194,12.096145
19.305086,137,12.117536
-44.842445,211,12.165107
-134.433721,282,12.213024
-109.392321,178,12.240833
-247.493348,283,12.301117
-27.841398,128,12.322038
-30.822709,244,12.379009
-48.8223,168,12.405935
87.613532,1000,12.597553
8.723489,1000,12.788121
170.83453,849,12.956411
-163.794898,189,12.985828
-35.58205,1000,13.189577
-68.779124,250,13.230554
-44.58926,167,13.275663
-27.379494,330,13.325986
84.812387,1000,13.527767
49.738517,1000,13.717977
93.757305,1000,13.906071
-0.800926,279,13.963541
-58.194375,186,13.993285
-47.807322,237,14.045811
-169.183924,152,14.069147
-30.664801,223,14.103167
-14.648176,301,14.164184
-39.977796,197,14.194516
-32.639001,186,14.237694
-36.440603,213,14.270288
-38.229268,182,14.313217
5.229238,209,14.344882
38.698915,168,14.37092
11.145839,130,14.408787
26.250475,229,14.444739
4.884687,178,14.472172
-3.349904,212,14.520374
9.800088,230,14.555388
4.348311,123,14.574323
24.569694,283,14.63202
-53.592827,500,14.72335
-27.96231,302,14.784347
-126.766539,301,14.830185
19.40302,154,14.854064
-199.813988,445,14.937619
15.063935,305,14.999367
-156.54294,431,15.079959
-75.623236,664,15.195223
-127.702087,337,15.261184
-210.991978,243,15.29834
85.543177,1000,15.488493
-138.301656,300,15.554976
-29.429633,244,15.594882
15.490716,1000,15.798771
55.983651,256,15.857001
-54.609532,267,15.900757
-173.652262,618,16.019194
-64.8226,232,16.073849
-134.301467,405,16.151244
-35.808951,208,16.183344
-0.021028,258,16.238136
105.469713,1000,16.409752
-46.801345,296,16.470493
102.106564,1000,16.656856
22.168837,194,16.686243
-17.528692,255,16.740481
48.724356,1000,16.928527
39.745606,398,17.006019
-90.999276,623,17.117788
-145.424255,563,17.218675
-283.137718,691,17.338956
